Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=132.STS.M.U2.S.UNEH.RTT000.4.000&start=&end=&submitOptions.x=0&submitOptions.y=0&trans=N
,STS.M.U2.S.UNEH.RTT000.4.000
,"Euro area (changing composition) - Standardised unemployment, Rate, Total (all ages), Total (male & female); unspecified; Eurostat; Seasonally adjusted, not working day adjusted,  percentage of civilian workforce"
Collection:,Average of observations through period (A)
Period\Unit:,[Percent ]
2002Aug,8.490000
2002Jul,8.440000
2002Jun,8.360000
2002May,8.300000
2002Apr,8.260000
2002Mar,8.190000
2002Feb,8.200000
2002Jan,8.140000
2001Dec,8.140000
2001Nov,8.110000
2001Oct,8.080000
2001Sep,8.050000
2001Aug,8.040000
2001Jul,8.010000
2001Jun,8.010000
2001May,8.030000
2001Apr,8.000000
2001Mar,8.030000
2001Feb,8.070000
2001Jan,8.110000
2000Dec,8.150000
2000Nov,8.240000
2000Oct,8.310000
2000Sep,8.410000
2000Aug,8.470000
2000Jul,8.510000
2000Jun,8.570000
2000May,8.620000
2000Apr,8.690000
2000Mar,8.790000
2000Feb,8.900000
2000Jan,9.010000
1999Dec,9.090000
1999Nov,9.180000
1999Oct,9.240000
1999Sep,9.340000
1999Aug,9.410000
1999Jul,9.470000
1999Jun,9.560000
1999May,9.620000
1999Apr,9.680000
1999Mar,9.730000
1999Feb,9.800000
1999Jan,9.900000
1998Dec,10.070000
1998Nov,10.150000
1998Oct,10.220000
1998Sep,10.260000
1998Aug,10.330000
1998Jul,10.390000
1998Jun,10.480000
1998May,10.500000
1998Apr,10.540000
1998Mar,10.510000
1998Feb,10.550000
1998Jan,10.630000
1997Dec,10.720000
1997Nov,10.780000
1997Oct,10.840000
1997Sep,10.840000
1997Aug,10.860000
1997Jul,10.910000
1997Jun,11.000000
1997May,11.000000
1997Apr,11.010000
1997Mar,10.970000
1997Feb,10.990000
1997Jan,10.980000
1996Dec,10.980000
1996Nov,11.000000
1996Oct,11.010000
1996Sep,11.020000
1996Aug,11.010000
1996Jul,11.040000
1996Jun,11.070000
1996May,11.040000
1996Apr,11.010000
1996Mar,10.920000
1996Feb,10.930000
1996Jan,10.940000
1995Dec,10.960000
1995Nov,10.980000
1995Oct,10.960000
1995Sep,10.930000
1995Aug,10.890000
1995Jul,10.850000
1995Jun,10.780000
1995May,10.740000
1995Apr,10.730000
1995Mar,10.790000
1995Feb,10.840000
1995Jan,10.890000
